user,text
benz_jim, Interesting how you don't accuse the white supremacists who often times are the real instigators.  https://t.co/wItzhJG1zK
brittbritt59, https://t.co/Q3ejeGVMDp
Chelsea23755721, Donald we all know u fucked a bowl of spaghetti
RueChavidBerger," THIS is what #TRUMP @POTUS DOES BEST (other than lying, cheating, committing fraud, stealing from… https://t.co/ylonj1KFwz"
UnloneWanderer, You're smoking crack
geekygamerchic1," @POTUS Just because you tweet it, doesn’t make it true! https://t.co/u5CE7aNCkm"
CaptainAdventu7, You are full of crap.
KevinBr29150031, Complete and utter lies. An excuse to test run your paramilitary force for when you illegally try… https://t.co/9RRtwfkfqx
NoCalGeorge, how much longer is this circus in town?
suck_nouveau, https://t.co/7rXpTiJKGG
FuzzVega," I live in Portland, and this statement is full of shit"
EpDavee, What a complete and ridiculous load of crap.
OBrienslife, You are a liar and not a good one.
LaurieFare1, Wrong Spanky. The crowds came after your Gestapo goons showed up and started snatching innocent pe… https://t.co/QqOedvOhqV
ThatPavaldo, https://t.co/ZnvQuMzFTd
99tf, Nostradamus
fearless3964, LAW AND ORDER!!!!! https://t.co/Fs7vhp1Qqo
Incaler555, Coward https://t.co/Jk4f3wgret
MarkKendall_GW, https://t.co/Eunf9aQJyo
SusanYorkNOLA, Horse crap. Where’s your new leaf?
TheRealBSKay," 151,000 dead Americans don’t care about your created “crisis” in Portland.  It was relatively nonv… https://t.co/lvFQrlqsV5"
ShelKel2, GFY #GestapoTrump
BlackLotus66x, ??
officehpcoach, Stop trying to create havoc
Drnoori17, America was great before Donald Trump and will be even better when he’s gone!!
DanniMclaughlin, LIAR. I live In Portland and this isn’t true. You’re trying to literally create “footage” for your… https://t.co/JfBwvfnn7h
MrsHerriott, STFU they never wanted you there in the first place you guys cause more chaos being there than not
janettwinkles, You are delusional and not just about this. Do us all a favor and just SHUT UP. Stop tweeting. Sto… https://t.co/buNm4wP1co
shakingcliches, https://t.co/NJjH8tS4qj
Mabel96227022, What a bunch of crap coming from a dumbass President! More lies and confusion from the chaos party… https://t.co/Dx47SrULS9
LanceKern, What dissident city are you sending your stormtroopers to next?
MaryRogers212," Take a breath, Donnie. Nobody (sane) is buying the horsesh*t you're selling. People put some graff… https://t.co/YrkyQiJGRY"
PatMcMoon, Oh puh-leez!  You are such a drama queen Donny.   Our protests were dwindling and then your Nazi t… https://t.co/kSztrdIaSe
uhadtu1, https://t.co/O1dX0p8sKO
stevemcquaide, You know nothing about Portland.
PatriotMtn, @POTUS I’m more terrified by my @OregonGovBrown than I am by the domestic terrorists in Portland.… https://t.co/ch5sJd1Fel
fanoftruth2, Why on earth did they make you president???
xradx666, L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L O L… https://t.co/M5inJLpTyb
KathyWi01557409, Nobody likes you. Maybe its your tweets!
jjm_3, Is your baffling habit of capitalizing nouns some kind of racist dogwhistle to your nazi supporter… https://t.co/NK1dMy9QMV
perez_mhayek01, You need treatment! Out of control!
LewishForMN," Is that why there is no Minneapolis, Mr. President Sir? Or did our city’s Democrat Mayor and Gover… https://t.co/bWqacObVDk"
HelpUp5, https://t.co/JHuf83cP4s
daniel87111, https://t.co/XdLKdIrxuG
RichFeinberg1, We don't want to live in Trump's America anymore.
AChhattisgarhi,  easily aced a tough cognitive test while sleepy @JoeBiden wasn't even allowed to… https://t.co/d1J6SY3bGR
J2thelane, https://t.co/mmKbpuCGpE
TheCreepingCrud, I knew I smelled something.
Gaeya4, @foxandfriends Donald Trump is destroying America.  Inly the uneducated and the 1% spprove of him.… https://t.co/aWQTMEXtF2
Mzkittycat3,@realDonaldTrump Yea that's been the plan all along sad but true
DuncanRobertBr6,@realDonaldTrump https://t.co/P4oDZXHMdR
1barbsnz,@realDonaldTrump Right.......insert fake claims here https://t.co/gsjCw1shU3
lorrainewright6,"@realDonaldTrump Trump family endorses Covid doctor who believes in alien DNA, demon sperm, Hydroxychloroquine"
thomasW12677077,"@realDonaldTrump Only rigged if you win, asshole."
dinky9491,"@realDonaldTrump so you can see into the future, your amazing. WOW.  full of B/S as usual. if you can do you know w… https://t.co/lwoXuHVEPU"
Yves_Grecourt,@realDonaldTrump these are the words of a LOSER ! Bye bye Donald !
gomomomo,@realDonaldTrump Someone is scared !!!!
EDBRSB,@realDonaldTrump Trump's a dictator wannabe trying to set the stage for refusing to leave the WH in January after w… https://t.co/ZW0sPK8llk
TonytheMisfit,"@realDonaldTrump You vote by mail, so does your staff. Doh. Of course it works. You're done in November, loser like Daddy said."
hes153ter,@realDonaldTrump You voted by mail. You voted by mail. So it’s good enough for EVERYONE. @foxandfriends @FoxNews… https://t.co/xlZ6PxKjLU
ShellPartDeux,@realDonaldTrump I think you know you’re going down in flames.
TNPOnlyFORWARD,"@realDonaldTrump Blah, blah, blah, false narrative, blah..."
R32Pete,@realDonaldTrump The US is so behind other countries....
FallenAngel7776,@realDonaldTrump Since you can't stop states from doing this in their districts why not just ban federal votes from… https://t.co/aL8ycP89ft
SimonGregg1,@realDonaldTrump I think your big problem with mail-in voting is that there will be fewer machine votes for Russia… https://t.co/osQfFjkTMG
Wehrconnected,@realDonaldTrump Do you know that Obama has way more followers than you?  Plus half your followers hate you!!! 😆 🤣 😂
mariateresag,@realDonaldTrump Mr. President your job as public official is to assist the restoration of that election's sanctity… https://t.co/GFyPLEpO0u
KaylaLa97260310,@realDonaldTrump Mail goes missing all the time I’m so happy this is being pointing out. I’m still missing a package!!! #wheremymail
Daddy2pops2,@realDonaldTrump Satan spawn has taken over the Presidency
AdamsPasa54,@realDonaldTrump Like 2016 when Russia helped you win! Cheater!
elrey_congo,@realDonaldTrump @jpmcintyre2011 https://t.co/6Aynoa0UaY
mspontecorvo,"@realDonaldTrump PA, Illinois and many other states will offer early voting plan ahead to be counted"
veigalawoffice1,@realDonaldTrump I bet if you would win with mail in voting you would not question the results.
Welshwhippet,@realDonaldTrump Already setting up a 'case' for then you lose. You know you're gone and you're scared 😂
LindaMccloughan,@realDonaldTrump https://t.co/BO2ZpIOSQ0
Kitty_Kat_2016,@realDonaldTrump You voted by mail in NY.
CliveWismayer,"@realDonaldTrump Exactly! If you ‘lose’ in November, hole up in the White House so the army has to bomb you out. It will make great TV!"
Blancheeb,@realDonaldTrump Could you devote a wee bit more time to the #TrumpVirus?
kotv9699,@realDonaldTrump I voting by mail.
Itsmylife845,@realDonaldTrump You have no chance in hell that you’re going to win NY. You are already crying cheater . Stop you’… https://t.co/Q07cKxz1P3
Petra77585553,@realDonaldTrump @lovesherboy A suggestion in California people live in the country side with no vehicle or work no… https://t.co/T2WGfSVHSQ
MumMaisie,@realDonaldTrump Then invest &amp; help the post office &amp; invest more generally in the mail ballot systems so they are… https://t.co/9H5W4kAKdC
bosparsoe,@realDonaldTrump Then its wonderful that you tell us the ‘truth’ - again you are a liar and a cheat trying to uncer… https://t.co/Y2ES5c4OL4
Hazels_Daughter,@realDonaldTrump You're so transparent Donnie!
lorrainewright6,"@realDonaldTrump Trump family endorses Covid doctor who believes in alien DNA, demon sperm andHydroxychloroquine. D… https://t.co/EeDEawCq0N"
GodFamAFRWmn,@realDonaldTrump Don't worry you will still lose the election then you can throw a tantrum until the Marines come a… https://t.co/RYIRlSIrln
HelenBr53419269,@realDonaldTrump Whats the matter cry baby. Your possy cant screw with the mail?
LeighBrannigan,@realDonaldTrump #NobodyLikesTrump
DannyDa98383177,"@realDonaldTrump Stop trying to rig the election with lies, your own enquiry shows that postal voting is secure"
CharlesHelstrom,@realDonaldTrump Dinkey Duckin Donald Kool Aid from Dinkey himself.
denihan_michael,@realDonaldTrump Voter suppression is fraud that's what you are a fraud #VoteBlueToSaveAmerica2020 #VoteByMail… https://t.co/BtjXrk3PlX
StarTigerJLN,@realDonaldTrump Well for one thing you've basically defunded the post office
CongSuzie,@realDonaldTrump Mail-in voting is a sensible thing to do Mr President. People's lives are more important than your votes.
lomonaco_james,@realDonaldTrump #TrumpFailsAmerica
FieldRobby,@realDonaldTrump PROVE IT YOU BIG ORANGE BITCH..
Olly_M5,@realDonaldTrump Didn’t you always use mail in voting in New York? But only now you complain about as it looks like… https://t.co/u9GlIfRKRa
XIANGRUI_WU,@realDonaldTrump god
TheAntifascist2,@realDonaldTrump Fake news
lynnjacoby,@realDonaldTrump “I told you so.” Really? I just heard those words from my 6 year old grandson.
Andy78557870,@realDonaldTrump https://t.co/Qu4xsxuRqb
BTJ_TLD,"@realDonaldTrump What the heck is a ""state of condition""?  Take a class!"
southernfemale5,"@realDonaldTrump Preparing for a loss you already know is coming, eh?  Already planning a “rigged election” as a wa… https://t.co/WH9yx61n0k"
MIKESHU48031600,@realDonaldTrump GOOD MORNING PRESIDENT TRUMP  ! THANKS FOR GOING TO SEE OFESSA TEXAS AND THE PIPELINERS SIR MYSELF… https://t.co/ysXvzqZsuD
tim_urbancrap,"@realDonaldTrump Hey Donny, call Cambridge Analytica. They can help."
HeidiTeixeira,@realDonaldTrump Lies! No one believes you-THE BIGGEST MURDERER EVER
ThatSleepGuy,@realDonaldTrump https://t.co/08GTsVvjyC
Bridget23918739,"@realDonaldTrump Even Russia mail in votes, ask Putin on your next mission call"
OktoberSF,"@realDonaldTrump You're a disastrous state. Rigged election? Resign now! Preserve what little dignity you have left, Herr Fuhrer!"
FactChe98891097,@realDonaldTrump How exactly would one rig the mail in ballots? I’d presume by taking out Republican voter ballots… https://t.co/FPThcfvqH4
_ChanandlerB_,@realDonaldTrump Report this tweet for voter suppression. He encourages his own racist base to mail in their votes.
MarissalassiraM,@realDonaldTrump Funny how that only started happening AFTER *YOU* appointed a new Postmaster General...
Pelham_Melon_UK,"@realDonaldTrump Trump’s must have become a farmer, due to all the muck-spreading he’s doing. 😂😂😂"
RSchnitzlein,@realDonaldTrump Cry little rocket man (@realDonaldTrump) cry  My Little girlies (5y) are tougher than you
taramariebee,@realDonaldTrump It's pretty sad that you know your going to lose so have decided to pretend there is voter fraud.… https://t.co/XKDpZ8pFkT
RhondaAllen_1,@realDonaldTrump Please stop bitching &amp; complaining just because you're loosing.  Look you mailed in your vote for… https://t.co/dBCNS7gWgq
DeermanNan,@realDonaldTrump Oh one more thing. You are lying.
RenierJustWonIt,@realDonaldTrump https://t.co/8MPUUPdGZd
olivia_cestra,@realDonaldTrump Ur profile pic is supes cute gurl
JessyLeigh9,@realDonaldTrump That’s because the fake news doesn’t care...?
JeffMacias,"@realDonaldTrump Global News uniformly reports @realDonaldTrump is an inept, corrupt, unfit, individual.… https://t.co/CT2rC0AhJ0"
Corkle1Mc,@realDonaldTrump How disappointed and disgusted with our US Postal Service!!! 😡😡👍🏻
RavenWolf80,"@realDonaldTrump I've actually heard quite the opposite. So please provide documentation of your claim, Frumpy Trum… https://t.co/4983EDMxY0"
jgakruger,"@realDonaldTrump Today,  July 30th. DONALD TRUMP,  THE MOST CORRUPT,  LYING AND RACIST FAKE PRESIDENT."
DeermanNan,@realDonaldTrump You are making this up. You know nothing about New York. They hate your ass. You can never go home.
cloudydays1971,"@realDonaldTrump So, are you saying you plan to vote in person legally in the next election or by mail like you usually do?"
ChaytorNL,@realDonaldTrump https://t.co/vHmemeZNPY
Djay39426134,@realDonaldTrump Let's just hope Donny Dumbo gets a dose of the virus then he can try all those quack cures that he espouses on himself.
Itrikke4,@realDonaldTrump Oh come on you’re just crying because you can’t hack paper.  We see you and we exposed you for the… https://t.co/Sfrkk06kGS
wahlstedt007,@realDonaldTrump Idiot 😎
JohnCam06023159,"@realDonaldTrump Leave the KEYS, WHEN YOU GO OUT THE DOOR 3TH OF NOVEMBER 👍👍"
WiseScampers,@realDonaldTrump The fear of you losing a second term has you spreading false information like this.  I'm truly dis… https://t.co/DOEjElkoxV
Helliemac72,"@realDonaldTrump Tax returns, passports, social security - all mail in.  Are they all fraudulent as well? (we know… https://t.co/UCOPN0NMWb"
BlindLITE,@realDonaldTrump Everytime a republican wins its fraud. Everytime a Democrat wins we deal with it. Then New York ha… https://t.co/wT3XMEo5P4
ned_stun,@realDonaldTrump You are a joke
mikelfcstoddart,@realDonaldTrump Liar https://t.co/kz4iMLyqF7
GreenSpike,@realDonaldTrump I guess the US is not the best at everything eh? Can't even figure out how to not get mail in voting to work lol
DK_RELENTLESS,"@realDonaldTrump The angry trolls are out in force... the algorithms know just where to put them, nasty creatures...."
fluffyhelen1,@realDonaldTrump You are the biggest source of Fake News in the world today.
funnywino,@realDonaldTrump U vote by mail! Ur such a pussy! Biggest coward ever born. Bad winner and even a worse loser! Say… https://t.co/nmXqkXiaiJ
Vlietrix,@realDonaldTrump https://t.co/pRQa6bPyfo
LakerFan4ever87,@realDonaldTrump We know your just building in excuses. You voted mail ballot to you 🤡. Stop trying to use that as… https://t.co/U58R2azWwQ
husky_sounds,@realDonaldTrump The president of the United States is also a reporter- in - Chief...😄
EdnaHamilton,@realDonaldTrump I will be in line at the polls come election day!!!! Trump2020 🇺🇸
meltotheglitz,@realDonaldTrump https://t.co/L5s4ybJagK
david46648612,@realDonaldTrump I bet your afraid you know you’re going to lose already
TimBart54705322,"@realDonaldTrump Voting Trump will increase the disastrous state of condition within USA. Failed Economics, Increas… https://t.co/AGHgIPnzKg"
pamgraf,@realDonaldTrump Just stop. Seriously.
djbatty2,"@realDonaldTrump You are going down the pipe in just a few weeks, orange boy"
TammyDignan1,@realDonaldTrump https://t.co/lSRGUY8J8c
TroySta82568656,@realDonaldTrump We’re voting your ass out. You’re teeing you an excuse for losing a term you’ll understand
WaltersKevi,@realDonaldTrump #Biben2020
weisz_jay,@realDonaldTrump The people aren’t voting for the TARD! They care about this country!
prpflava,@realDonaldTrump This is why Democrats want us scared to leave our homes with Covid fears and riots. They want to c… https://t.co/ZsvDVj2UpS
Michellefromth1,@realDonaldTrump #somuchwhining
Johnny_Liberty1,"@realDonaldTrump @Feisty_FL ItsNew York, it’s barely a part of America."
TexasDan,@realDonaldTrump Learn english or leave!
BigbooteJan,@realDonaldTrump PLEASE REPORT THIS TWEET
MaryKennedy22,"@realDonaldTrump Liar, liar, shitty pants on fire!  And, the world is laughing at you!  🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/J58zZYcNNI"
LarryCob37,@realDonaldTrump https://t.co/iyhrey01N8
shellybarring,@realDonaldTrump THIS is Voter Suppression!  #NobodyLikesYou
QHoneyblue,@realDonaldTrump So is your response to the black community in America
HRChange,"@realDonaldTrump Campaign rhetoric.  Your Kool-Aid drinkers may buy it, but the average, intelligent individual kno… https://t.co/FnEBw53oXo"
Bunny87298238,@realDonaldTrump https://t.co/NpaGwGmhAP
chayne38427920,"@realDonaldTrump Rig it, Devil.....the people will string you up to a telephone pole...be quicker ending than priso… https://t.co/6ec51c3G6t"
ThePischerKing,@realDonaldTrump https://t.co/FaqKoaahd9
JerriHafizi,@realDonaldTrump This is hurting you.
mistyreiko,@realDonaldTrump The fake news isn’t refusing to report. You’re the fake news and you’re reporting the fake news right now.
meneal1970,@realDonaldTrump https://t.co/pLNVUE7VCj
anrk303,"@realDonaldTrump You’ve no evidence of your spurious claims, you lying piece of shite."
BelaBenanua,@realDonaldTrump #NobodyLikesTrump https://t.co/uuHBxmx6AH
jphoganorg,@realDonaldTrump If #Russians capable of having proved #Obama &amp; #Biden unable to secure 2016 electronic votes of el… https://t.co/wnKWGE4Bh9
elsa1111,@realDonaldTrump @BillSpicewood Liar! Karma  and hopefully the law will catch up with you.  We were a lot better without you!
Mudrak,@realDonaldTrump Wake up everyone!!! The Donald has made his intentions clear. He won’t accept defeat at any cost.
jamesmi37138345,@realDonaldTrump Write an executive order for voter Id &amp; not mail in ballots absentee only or in person
jamie__smith,@realDonaldTrump I've voted mail in ballots for at least a decade in CO. Never a problem. I can track my ballot to… https://t.co/wCpE698bJh
Weshauk,@realDonaldTrump Liar.
Beachiest,@realDonaldTrump You vote by mail.
MarisaLewis,@realDonaldTrump https://t.co/iwXOMCdgnG
pellet5,@realDonaldTrump Stop your GD lying for once and accept the fact that America wants you out! You’re destroying ever… https://t.co/LzoRPnYi3M
JMD_east,"@realDonaldTrump THIS is a TRUMP tweet.. all over the place, rage.. may have confused his hemorrhoid cream withe st… https://t.co/XoqyqIOQ0X"
FinnSpinner,"@realDonaldTrump Trump, your criticism of mail in voting is a ploy to excuses your expected election loss in Novemb… https://t.co/gU7vOUS0YG"
ManOfMystery15,@realDonaldTrump 5 lies in this tweet alone. No wonder your campaign is in the toilet. https://t.co/P0429arxJU
wearitlikeadiva,"@realDonaldTrump Reported. Misleading, intimidating and voter supression"
FukTrum10870411,@realDonaldTrump Exactly how a loser trying to do ! U such a clown 🤡
State_of_USA,"@realDonaldTrump As for the new FBI building, it’s because you narcissist wants a federal building with your name o… https://t.co/SbZPH45rTU"
PChoruzy,@realDonaldTrump Nope
DK_RELENTLESS,@realDonaldTrump The media deceives ignorant and uninformed people into thinking registered absentee ballots are th… https://t.co/kz5thmGT8a
niallstephen6,@realDonaldTrump Assuming there are missing votes from ny it’s safe to assume none of them were favouring you
DevonaB10357767,@realDonaldTrump Ask the others in your head! Where did we put them??? Remind yourselves you can't do mail in votes… https://t.co/faFk5jNSm1
State_of_USA,"@realDonaldTrump No news to report on the voting ballots because nothing going on, it’s all in your head. The critt… https://t.co/NCfhloqwLZ"
jeanetteevdo,@realDonaldTrump Liar
akablackpearl14,@realDonaldTrump You stole your election.
sundog734,"@realDonaldTrump You’re going to lose any way you slice it, Disaster Don."
Robert61163590,@realDonaldTrump LIAR!
nick_peragine,@realDonaldTrump You’re a FOOL
jgrasser11,"@realDonaldTrump Our country is in a disastrous condition because of you. Biden 2020, your racist regime is over"
impishhern5,@realDonaldTrump https://t.co/crzNCvOoRS
YourAnonNewsCan,@realDonaldTrump https://t.co/e0MVrU504u https://t.co/AgbXEFSWW9
mryellnp,@realDonaldTrump Bs
tesa_silva,@realDonaldTrump Says the man who voted by mail. https://t.co/qIkheUpg2y
SEcorona12,@realDonaldTrump Ur lying where r the twitter watchers so they can delete this tweet
Pieter_Erasmus_,@realDonaldTrump https://t.co/ethuOv907X
BeastTrainer81,@realDonaldTrump Rigged ejection. Like in 2016? First “president” to lose popular vote and still win
Nickisperplexed,@realDonaldTrump Evidence. Show us the evidence that you have Con Man der in Chief.  My cat has 8 legs. Ask me to p… https://t.co/uWx0bMwvbT
toots717,@realDonaldTrump Stop the bullshit. Everyone knows you vote by mail.
MHonyoust,"@realDonaldTrump What did your people do with them? So , your family isn’t allowed to run a charity in NYC?"
AlanGoldstein12,@realDonaldTrump Guess what putin and benedict donny have in common......they both HATE AMERICA!!!
emccall007,@realDonaldTrump Hey man if you're suggesting that you won't accept your defeat in 2020  then we are going to have… https://t.co/etRMHG7COy
EricMcClure15,@realDonaldTrump Are you going to keep crying little donnie wah wah
macpj,@realDonaldTrump .Source??
gochisox1609,@realDonaldTrump Yet you continue to vote by mail.... I hope that sinks in with your followers.
LWinB,@realDonaldTrump #trumplieseverytimeheopenshismouth
StephenLiller,@realDonaldTrump Fake news! You lie about everything. You are untrustworthy!
LindaSt85442136,@realDonaldTrump Why do you vote by mail????
SurrogateGP_USA,@realDonaldTrump #NobodyLikesTrump  #NobodyLikesTrump #NobodyLikesTrump #NobodyLikesTrump #NobodyLikesTrump
DailyRook,@realDonaldTrump @MichaelPreamble Make America Great Again  by leaving it!
WorsPresEver45,@realDonaldTrump #CryBabyTrump
sofiya1127,@realDonaldTrump WE GOT A COWARD WHO CANT MAN UP IN BEING A LOSER
SteveDH63,@realDonaldTrump Huge difference between votes getting lost and voter fraud.  Do only Republican votes get lost or delayed?
WWBush3,"@realDonaldTrump After seeing the final election results, trump will surely say that the vote is false. He will thi… https://t.co/A428SGDDRl"
vipsania0202201,@realDonaldTrump You are destroying online business by destroying the #USPS #USPSsabotage
Missyroset,@realDonaldTrump NY had so many people vote that they underestimated the number of resources needed to process. Not… https://t.co/mGRQHjymqM
FKirkman1,@realDonaldTrump If the votes are missing then it is the fault of the postal service run by the US government that… https://t.co/awtyOv4zfH
TOOLDTOQUIT,@realDonaldTrump https://t.co/wBGWYK6Bun
lackeyleft,@realDonaldTrump then FUND election needs!
BrendaJJustice7,@realDonaldTrump https://t.co/54ZqOaOooc
Sbel27860592,@realDonaldTrump Thank God for the Press secretary she will let everyone know
BrendaJJustice7,@realDonaldTrump You know nothing about the subject other than ...your party may lose the election💔🇺🇸💔 https://t.co/X1nQvKLgho
beowulfnk,@realDonaldTrump #NoMailInVoting
kml0429,"@realDonaldTrump Stop being a baby.  “ I told you so”! Dear god, you’re the president of the United States !!! Act like it!"
matt_kathleen,@realDonaldTrump Oh I'm sure NY shit show
lastchance99,@realDonaldTrump https://t.co/1JQbuF1g1E
OCRfz4ZRKGBpOCO,@realDonaldTrump How strange it is for New York State to insist on a mail-In vote! People wear masks and there're m… https://t.co/3e8gJ0XEG3
KarenPGee,@realDonaldTrump What’s wrong? Can’t cheat with mail in ballots https://t.co/TIjTcGormu
michele68917147,@realDonaldTrump If mail in voting sucks? Why did you...MAIL IN YOUR VOTE?
Rightisred,@realDonaldTrump We will overcome it!
CubedOnly,@realDonaldTrump I'm gonna throw a big-ass party on the day you go to prison.
jeannemburing,@realDonaldTrump KY just conducted a very successful Primary using mail in voting!!!   Safe and Easy.  We will all… https://t.co/6YeLjP9DY0
jlover27,@realDonaldTrump Check this out America! An Escort and a Con Man running the country... NO WONDER! Keep that in min… https://t.co/cBuVZhiKcW
Milorich3,@realDonaldTrump Check out Oregon and other states that have used absentee/mail in ballots for years. Be aware that… https://t.co/2uws013kqb
devinnunescon,"@realDonaldTrump Don, your racist low-income housing suburban scare tactic isn't working and no one except the 30%… https://t.co/qAfDZZD9Z2"
VJKUTZ,@realDonaldTrump And you plan on making it worse. Closing post offices &amp; cutting postal workers overtime to delay t… https://t.co/v6qESCuu1U
terrydesroches,@realDonaldTrump This would be believe to an ignorant naive idiot but thank God not everyone has the Trump name. I… https://t.co/ipjrniudjw
breiterbart,@realDonaldTrump Looks like your unethical attempts at voter suppression via cutbacks in Post Office service and fu… https://t.co/QZwxLoY0O1
JayJack2568,"@realDonaldTrump Mail in voting has been happening since the Civil War... It was safe then, it is safe now!  But...… https://t.co/eMlabhwEVg"
fishtv2003,@realDonaldTrump You vote by mail.  If it’s good enough for you.  It should be good enough for everyone else.
EricKnapp9,@realDonaldTrump What is $7 billion for Lockheed (skunkworks) and Boeing doing in a Corona Virus deal ?  Their snea… https://t.co/jYk81XPKzU
shareideas26,@realDonaldTrump This may backfire on both parties.
jimmyiacono,@realDonaldTrump The guy wore the same t-shirt for 3 weeks?
hong_e130,@realDonaldTrump laji
Carol30948012,"@realDonaldTrump Mr. President, I am a very strong supporter of yours; Today Rob had surgery to his back earlier to… https://t.co/wJh2RW75rV"
ROYALRESTN,@realDonaldTrump @Ey3s0nQ Any business owner will agree that USPS is never a sure delivery method. Risky every time!
Damian59818983,@realDonaldTrump https://t.co/XDlt82eWAN
AMIN69479383,@realDonaldTrump Nice♥️
allsniles,@realDonaldTrump https://t.co/olPbyeLauY
JariRantanen11,@realDonaldTrump Pityful.
smorris89181183,@realDonaldTrump so your aiding and abetting mail in fraud and filming it...thats tacky even for you
business_agm,@realDonaldTrump Bet this gets taken down
GagaDelEilish,"@realDonaldTrump Did you post this thinking it will help your case? It doesn’t. And hey, by the way! Florida Democr… https://t.co/1ArJAs4T43"
jr50903400,@realDonaldTrump Check our this hypocrite aka @realDonaldTrump #dicktatorTrump #LyingTrump #TrumpIsARacist… https://t.co/kxAZ2ENwPE
jayne10965,@realDonaldTrump So. .... he committed voter fraud.
realCheeto1,@realDonaldTrump https://t.co/eJHzSBxFy2
nfCn6h8alDDvO8j,"@realDonaldTrump Today, Iran has the best missile power in the world.  I was in your place, I was hiding only in th… https://t.co/AZLIoeWkwy"
ScreminButerfly,@realDonaldTrump We all know you've voted many times by mail ~ you two faced
realCheeto1,@realDonaldTrump https://t.co/qHqj53a1sp
TheTaurosKing,@realDonaldTrump 1) Mail-in ballots are not that small. They are the size of a legal envelope and the ballots are n… https://t.co/E0gK1aqG3h
Mariela90566165,@realDonaldTrump #BlockDollarUseInCuba
dori_zessin,"@realDonaldTrump There is nothing wrong with mail in voting. You are so afraid that if everyone gets the opportunity to vote,you will lose."
SueFrancisMook,@realDonaldTrump #SuburbsForBiden #SuburbsForBiden #SuburbsForBiden And All your tweets are lies so We Will… https://t.co/2BwgZIZVNE
CincyMom147,@realDonaldTrump Since you appointed your minion as Postmaster General the post office is beginning to resemble Ita… https://t.co/YLYl4aOJ26
jayne10965,"@realDonaldTrump Statistically,  you are lying. Again.  You are afraid. Mail-in voting is secure. The Republican pa… https://t.co/sNss2uyu6H"
realCheeto1,"@realDonaldTrump ATTENTION, IF YOU RECEIVE THIS, IT'S A DEM HOAX! https://t.co/RExgXlBhaG"
MstAsaakter1,@realDonaldTrump Dollar Tree Still Giving out 💲800 to the first 50 people to Comment CASH .. Just like they did last Week ..it starts now!
hfmuddjr,"@realDonaldTrump I guess no republican would ever use this to cheat, just democrats..."
RonDecker,@realDonaldTrump So over to vote for Biden more than once?  Landslide for the blue!!
Zdevil1,@realDonaldTrump Let’s talk about this article about Laura &amp; Don Jr promoting Mail in Voting https://t.co/XqYN1hyM1B
TrumpIsAMutt,@realDonaldTrump Little Donnie is already campaigning to claim a “rigged” November election because he knows he’s screwed.
Pieter_Erasmus_,@realDonaldTrump https://t.co/AB2kzdbciT
andi00430967,"@realDonaldTrump The brutal attack of Russian jets on Syria and the killing of women and children، More than 500,00… https://t.co/WwVP7UI8uU"
longotter61,@realDonaldTrump Maybe because you sent them to a PO Box you big dummy. Stop the fear mongering. Smart Americans ca… https://t.co/M3he3W2pTi
nug1,@realDonaldTrump @siggyflicker The President &amp; the First Lady do mail in voting.  Our Military members do mail in voting.
AnthonyJAlberta,@realDonaldTrump This actually concludes that: Mail works! Go figure.
toots717,@realDonaldTrump You vote by mail. Clearly you trust that it’s safe.
elkopec17,@realDonaldTrump trumpfiction🐂💩💩
cesear,@realDonaldTrump Pleaseeeeeee https://t.co/7tfEZykDC7
Hendrik151515,@realDonaldTrump https://t.co/5QBl3KvJam
lmedcafe66,@realDonaldTrump Mr. President. How did you vote the last few elections
safeagain1,@realDonaldTrump #TrumpGOPFascism  ▶️https://t.co/GVPzaApumh  @NicholsUprising  #AmericaUnderSiege  #TheEnemyWithin https://t.co/JppbygiO3x
AndersJonita,@realDonaldTrump @burnett_marcy Check out how it's all just a distraction from THIS https://t.co/XurZax2wmn
00angelM,@realDonaldTrump Don’t worry you are going to jail or Iran Iraq will come to get you all even Melania will turn her back on you
2020TRUMP20201,"@realDonaldTrump This is the liberal way, and Marxists way of controlling this country. We need to fight back! All… https://t.co/ZiESXCIMjc"
FausFrau,@realDonaldTrump Why are there important elections on a working day in the US?  Who makes the decision about that?… https://t.co/oBW2zwGkJW
MariePierpont,@realDonaldTrump Now do the new jobs you added to the economy ... body bag manufacturing and social media censors.
megdcrad,@realDonaldTrump Fake News! By Trump to suppress voting by mail for 2020 election November 3rd
nfCn6h8alDDvO8j,@realDonaldTrump This should be the last time your fighter jet appears around our passenger plane #Missile_Farm
SaltmeadowGroup,@realDonaldTrump Congrats. Today you learned nothing in life is 100% accurate but your BS but thats still not cause… https://t.co/hH1mr1GW08
AlexaNielsen6,@realDonaldTrump What about when a voting machine goes down for hours?  Not everyone stays to vote.  Even if an ext… https://t.co/oewXtrPFnm
MaxRegTuck,@realDonaldTrump https://t.co/cmqMRXUSZY
matlea25303,@realDonaldTrump So you’re going off of something out of Philadelphia? I thought you hated Philadelphia?
gmer6843,@realDonaldTrump You sit and complain about mail@in voting but hold no one accountable you will lose the electiom@you are too soft
TankGothic,"@realDonaldTrump Perhaps you should tell your new head of the Post Office to hire more people, and not hold over ma… https://t.co/k7EJ2z5EXS"
